"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1856,0.22,0.153,0.224,0.143,0.196,0.218,0.232,0.209,0.276,0.126,0.136,0.231
1857,0.216,-0.058,-0.073,0.009,-0.031,0.102,0.134,-0.001,0.021,-0.132,-0.167,-0.281
1858,-0.219,-0.312,-0.069,0.213,0.091,-0.038,-0.159,-0.069,0.072,0.15,0.277,0.124
1859,-0.131,-0.119,0.061,0.151,0.088,-0.1,-0.179,0.065,0.082,0.13,0.061,0.084
1860,0.117,-0.111,0.062,-0.068,0.171,0.305,0.231,0.041,-0.004,0.111,-0.006,0.143
1861,0.002,-0.108,-0.005,0.249,0.196,0.293,0.415,0.304,0.261,0.215,0.217,0.117
1862,-0.026,-0.162,-0.072,-0.125,-0.181,-0.043,-0.293,-0.267,-0.256,-0.265,-0.351,-0.357
1863,-0.146,-0.043,0.029,0.051,0.024,-0.041,-0.293,-0.299,-0.157,-0.233,-0.177,-0.115
1864,-0.205,-0.354,-0.18,-0.034,0.073,0.116,0.262,0.348,0.196,0.126,0.188,0.189
1865,0.189,0.249,0.162,0.058,0.027,0.197,0.119,0.039,0.282,0.249,0.213,0.213
1866,0.047,0.173,0.208,0.127,0.17,0.346,0.277,0.254,0.143,0.136,0.263,0.272
1867,0.307,0.279,0.382,0.291,0.153,0.084,0.103,0.066,-0.002,-0.032,0.108,-0.057
1868,0.057,0.127,0.198,0.257,0.183,0.322,0.402,0.199,0.143,-0.117,-0.06,0.119
1869,-0.117,0.088,0.074,0.241,0.278,0.211,0.277,0.131,0.09,-0.01,-0.048,-0.091
1870,-0.162,0.005,-0.046,-0.172,-0.033,-0.016,-0.044,0.096,0.146,0.153,0.169,0.105
1871,-0.14,-0.123,0.126,0.175,0.139,0.128,0.168,0.053,-0.092,-0.152,-0.008,0.082
1872,-0.074,-0.058,-0.089,-0.078,0.172,0.213,0.28,0.38,0.412,0.043,-0.038,-0.056
1873,0.05,0,0.037,0.041,-0.053,-0.044,0.08,0.04,0.142,0.077,0.057,0.135
1874,0.047,-0.117,-0.123,-0.094,0.011,0.158,0.096,-0.018,0.176,-0.044,-0.062,-0.294
1875,-0.17,0.062,0.032,0.014,0.16,0.166,-0.001,0.087,0.135,0.067,-0.063,-0.081
1876,-0.209,-0.08,-0.095,-0.074,-0.076,-0.009,0.112,0.171,0.145,-0.058,-0.085,-0.021
1877,0.003,0.154,0.238,0.143,0.253,0.322,0.298,0.362,0.261,0.231,0.299,0.318
1878,0.24,0.333,0.343,0.642,0.523,0.626,0.419,0.586,0.547,0.317,0.371,0.469
1879,0.322,0.377,0.018,0.036,0.244,0.175,0.083,0.014,-0.024,0.06,0.067,0.117
1880,0.075,0.003,0.088,-0.039,-0.14,-0.013,0.117,0.101,0.254,0.229,0.147,-0.086
1881,0.168,0.123,0.19,0.22,0.114,0.12,0.007,0.045,-0.023,-0.07,-0.305,-0.095
1882,-0.131,-0.098,-0.033,-0.128,-0.13,0,0.061,0.07,0.043,-0.014,0.015,0.018
1883,-0.046,-0.162,-0.151,0.03,0.036,-0.028,-0.042,0.021,-0.089,-0.11,-0.004,0.137
1884,0.036,-0.139,-0.106,-0.058,-0.044,0.141,-0.026,-0.004,-0.146,-0.139,-0.335,-0.108
1885,-0.06,0.052,-0.027,-0.243,-0.159,-0.124,-0.017,0.121,0.043,0.041,0.02,0.042
1886,0.14,0.136,0.192,0.216,0.243,0.213,0.255,0.073,0.011,-0.009,-0.004,-0.01
1887,-0.089,-0.076,-0.013,-0.055,0.056,0.231,0.349,0.216,0.168,0.252,0.197,0.198
1888,0.25,0.187,0.272,0.14,0.147,0.27,0.205,0.164,0.167,0.273,0.146,0.097
1889,0.255,0.262,0.337,0.317,0.319,0.23,0.08,0.1,0.108,0.108,0.182,0.056
1890,0.035,0.02,-0.034,-0.15,-0.142,-0.097,-0.25,-0.295,-0.254,-0.078,-0.266,-0.243
1891,-0.27,-0.08,0.08,0.116,0.184,0.17,0.248,0.106,0.014,0.032,-0.232,0.025
1892,0.068,0.129,0.102,0.011,-0.122,-0.14,-0.245,-0.1,-0.207,-0.175,-0.27,-0.171
1893,-0.096,-0.048,-0.036,-0.148,-0.129,0.132,0.185,0.169,0.058,-0.053,0.03,-0.15
1894,-0.141,-0.159,-0.179,-0.276,-0.351,-0.316,-0.219,-0.23,-0.219,-0.328,-0.306,-0.22
1895,-0.108,-0.076,-0.255,-0.283,-0.199,-0.099,-0.065,-0.087,0.082,0.08,-0.101,-0.042
1896,-0.059,0.04,-0.032,0.055,0.264,0.197,0.109,0.087,0.321,0.165,0.052,0.062
1897,0.085,0.138,0.309,0.253,0.168,0.104,0.102,0.023,0.052,0.081,-0.008,-0.007
1898,-0.011,0.063,0.112,0.066,0.095,0.214,0.222,0.144,0.11,-0.023,-0.125,0.005
1899,-0.061,-0.047,-0.003,0.091,0.207,0.193,0.116,0.275,0.135,0.097,0.205,0.304
1900,0.214,0.209,0.068,0.171,0.004,0.007,0.099,0.006,0.056,0.123,0.051,0.143
1901,0.055,0.193,0.166,0.158,0.088,0.225,0.191,0.189,0.01,-0.101,-0.072,-0.058
1902,-0.11,-0.026,-0.017,-0.143,-0.084,-0.245,-0.284,-0.165,0.006,0.023,-0.11,-0.079
1903,-0.035,0.059,-0.052,-0.063,-0.138,-0.17,-0.157,-0.439,-0.45,-0.36,-0.233,-0.287
1904,-0.346,-0.368,-0.374,-0.417,-0.392,-0.424,-0.332,-0.343,-0.473,-0.365,-0.194,-0.149
1905,-0.22,-0.178,-0.355,-0.168,-0.058,-0.168,-0.05,-0.138,-0.352,-0.247,-0.264,-0.241
1906,-0.068,-0.028,-0.049,-0.04,-0.156,0.012,-0.003,-0.061,-0.116,-0.138,-0.014,-0.222
1907,-0.182,-0.345,-0.251,-0.158,-0.146,-0.251,-0.278,-0.312,-0.175,-0.217,-0.224,-0.188
1908,-0.229,-0.23,-0.238,-0.206,-0.161,-0.061,0.027,0.01,-0.086,-0.118,-0.152,-0.119
1909,-0.102,-0.14,-0.099,-0.146,-0.004,-0.126,-0.165,-0.081,-0.112,-0.149,-0.289,-0.231
1910,-0.305,-0.249,-0.258,-0.308,-0.339,-0.358,-0.287,-0.257,-0.103,-0.188,-0.076,-0.24
1911,-0.25,-0.251,-0.306,-0.318,-0.341,-0.237,-0.166,-0.063,-0.116,-0.111,-0.228,-0.17
1912,-0.234,-0.258,-0.216,-0.166,-0.113,-0.148,-0.255,-0.393,-0.243,-0.248,-0.221,-0.233
1913,-0.305,-0.21,-0.223,-0.439,-0.447,-0.564,-0.437,-0.433,-0.426,-0.38,-0.454,-0.325
1914,-0.222,-0.317,-0.404,-0.383,-0.261,-0.375,-0.43,-0.369,-0.187,-0.112,-0.183,-0.226
1915,-0.127,-0.115,-0.002,0.053,0.263,0.295,0.319,0.214,0.198,0.031,-0.005,0.013
1916,-0.038,-0.097,-0.091,-0.117,0.021,0.03,-0.073,-0.015,-0.002,-0.073,-0.238,-0.207
1917,-0.292,-0.348,-0.4,-0.304,-0.252,-0.15,-0.207,-0.19,-0.28,-0.339,-0.317,-0.257
1918,-0.099,-0.173,-0.115,-0.176,-0.236,-0.417,-0.365,-0.388,-0.363,-0.256,-0.297,-0.222
1919,-0.224,-0.056,-0.19,-0.053,-0.162,-0.22,-0.28,-0.188,-0.189,-0.14,-0.225,-0.288
1920,-0.459,-0.401,-0.449,-0.332,-0.249,-0.278,-0.273,-0.3,-0.273,-0.264,-0.424,-0.3
1921,-0.287,-0.271,-0.315,-0.261,-0.247,-0.244,-0.105,-0.243,-0.222,-0.051,-0.259,-0.117
1922,-0.202,-0.239,-0.337,-0.407,-0.314,-0.328,-0.373,-0.305,-0.364,-0.283,-0.347,-0.32
1923,-0.36,-0.457,-0.4,-0.426,-0.277,-0.31,-0.318,-0.422,-0.365,-0.261,-0.212,-0.057
1924,-0.127,-0.195,-0.101,-0.053,0.049,-0.093,-0.122,-0.134,-0.2,-0.232,-0.312,-0.283
1925,-0.322,-0.307,-0.235,-0.176,-0.074,-0.186,-0.141,-0.128,-0.116,-0.083,-0.168,0.05
1926,0.038,0.111,0.05,0.112,0.129,0.072,0.144,0.055,0.045,0.18,0.03,0.093
1927,0.084,0.08,0.043,0.071,0.195,0.157,0.158,0.16,0.108,0.176,0.14,-0.021
1928,-0.043,-0.091,-0.09,-0.095,0.02,0.07,0.089,0.105,0.091,0.045,-0.048,-0.087
1929,-0.084,-0.097,-0.086,-0.012,-0.106,-0.188,-0.176,-0.151,-0.061,-0.05,-0.11,-0.181
1930,-0.119,-0.171,-0.09,-0.206,-0.107,-0.076,0.064,0.074,0.292,0.206,0.157,0.147
1931,0.119,0.07,0.152,0.155,0.229,0.273,0.198,0.155,0.269,0.323,0.063,0.176
1932,0.181,0.235,0.252,0.216,0.159,0.249,0.275,0.392,0.341,0.243,0.142,0.1
1933,0.093,0.161,0.095,0.216,0.296,0.249,0.284,0.286,0.248,0.336,0.085,0.007
1934,-0.106,-0.185,-0.206,-0.088,-0.107,0.039,0.176,0.085,0.147,0.176,0.022,0.001
1935,0.048,-0.13,-0.144,0.06,0.146,0.114,0.068,0.01,-0.032,-0.013,0.025,0.106
1936,0.142,0.151,0.199,0.201,0.173,0.198,0.2,0.219,0.179,0.109,0.025,0.053
1937,0.06,0.091,0.104,0.075,0.136,0.455,0.616,0.596,0.512,0.302,0.261,0.358
1938,0.216,0.157,0.205,0.242,0.208,0.173,0.21,0.303,0.314,0.36,0.324,0.224
1939,0.14,0.084,-0.026,0.1,0.111,0.183,0.331,0.328,0.305,0.016,-0.147,-0.074
1940,0.067,-0.188,-0.138,-0.027,0.008,0.02,0.102,0.111,0.031,-0.043,-0.126,-0.132
1941,-0.056,0.101,0.138,0.071,0.043,-0.013,0.094,0.285,0.311,0.422,0.399,0.333
1942,0.142,0.205,0.199,0.211,0.215,0.266,0.107,0.152,0.231,0.21,0.203,0.099
1943,0.136,0.103,-0.096,-0.129,-0.116,-0.069,0.024,0.023,0.084,0.087,0.151,0.235
1944,0.308,0.325,0.43,0.323,0.3,0.355,0.369,0.452,0.426,0.375,0.28,0.282
1945,0.268,0.357,0.373,0.42,0.318,0.183,0.093,0.116,0.094,0.111,0.194,0.147
1946,0.286,0.2,0.14,0.071,0.099,-0.091,-0.195,-0.155,-0.008,-0.006,-0.055,-0.025
1947,-0.164,-0.117,-0.081,-0.087,-0.145,-0.142,-0.147,-0.09,-0.04,-0.08,0.057,0.044
1948,-0.005,-0.017,0.038,-0.06,0.006,0.065,-0.029,-0.012,-0.042,0.018,0.145,0.073
1949,0.163,0.171,0.049,0.109,-0.013,0.012,0.082,0.113,0.081,0.115,0.118,0.129
1950,0.122,-0.023,-0.095,-0.12,-0.048,-0.032,-0.045,0.031,0.021,-0.079,0.091,0.099
1951,0.114,0.009,0.023,0.18,0.184,0.3,0.433,0.315,0.261,0.27,0.186,0.186
1952,0.183,0.194,0.242,0.202,0.192,0.394,0.384,0.415,0.373,0.366,0.262,0.352
1953,0.277,0.196,0.153,0.325,0.354,0.287,0.355,0.27,0.291,0.159,0.256,0.269
1954,0.239,0.107,0.112,-0.002,0.081,0.111,-0.033,-0.003,0.001,-0.021,-0.015,-0.04
1955,0.087,0.052,0.053,0.107,0.188,0.205,0.28,0.186,0.215,0.291,0.398,0.268
1956,0.198,0.106,0.025,0.075,-0.046,-0.252,-0.078,-0.086,-0.077,-0.031,-0.075,0.031
1957,-0.069,-0.094,-0.007,-0.062,-0.109,0,0.052,0.214,0.233,0.162,0.096,0.091
1958,0.061,0.201,0.356,0.358,0.213,0.233,0.176,0.173,0.224,0.164,0.197,0.231
1959,0.112,0.127,-0.015,0.008,0.019,-0.047,-0.02,0.024,0.137,0.124,0.063,0.122
1960,0.189,0.229,0.1,0.109,0.314,0.331,0.283,0.347,0.223,0.308,0.262,0.15
1961,0.073,0.093,0.16,0.239,0.206,0.045,-0.007,0.048,0.015,0.041,0.079,0.225
1962,0.161,0.164,0.178,0.1,0.035,-0.059,0.004,-0.051,0.016,0.078,0.058,0.202
1963,0.169,0.178,0.146,0.116,-0.073,-0.035,-0.023,-0.061,-0.19,-0.059,-0.045,-0.048
1964,-0.063,0.034,0.052,-0.134,0.053,0.016,-0.132,-0.222,-0.208,-0.259,-0.153,-0.109
1965,-0.186,-0.165,-0.065,-0.084,-0.086,-0.114,-0.176,-0.198,-0.209,-0.235,-0.264,-0.111
1966,-0.063,0.023,0.003,0.056,0.014,-0.033,-0.043,-0.031,0.013,0.026,0.016,0.093
