Date,21st,Dairyland,Esurance,Foremost,Mercury,MetLife,National General,Plymouth Rock,Progressive,Safeco,The General,Hartford,Travelers,ASI,Binds
1/26/1900,43,1,8,16,45,1,0,13,57,94,6,14,21,3,322
10/2/2014,40,0,14,13,40,0,0,15,28,75,5,13,20,1,264
10/3/2014,52,1,9,17,73,3,0,19,85,131,10,20,25,2,447
10/6/2014,26,1,6,13,39,1,0,7,43,77,5,6,22,1,247
10/7/2014,33,0,2,6,42,0,0,9,29,73,5,11,23,0,233
10/8/2014,29,1,1,7,22,1,0,2,50,56,8,14,24,0,215
10/9/2014,32,1,2,10,44,0,1,8,45,58,6,16,23,1,247
10/10/2014,36,1,4,9,57,1,1,28,57,84,8,14,27,0,327
10/11/2014,2,0,1,2,6,0,0,2,12,9,0,0,2,0,36
10/13/2014,21,1,7,10,23,0,0,9,34,47,4,15,10,3,184
10/14/2014,28,0,1,7,38,0,0,12,32,61,6,17,20,2,224
10/15/2014,35,2,8,10,46,1,0,5,43,66,8,14,13,2,253
10/16/2014,29,0,2,15,36,1,0,9,35,71,4,13,17,2,234
10/17/2014,42,0,10,12,48,1,0,15,55,85,10,14,21,2,315
10/18/2014,3,0,0,6,10,1,0,7,15,15,4,5,4,0,70
10/20/2014,27,1,3,13,50,0,0,9,37,63,10,9,17,0,239
10/21/2014,27,1,8,12,34,1,0,7,35,53,4,15,16,0,213
10/22/2014,16,1,3,12,33,0,0,12,33,69,4,17,18,0,218
10/23/2014,28,0,6,15,52,2,0,13,38,71,6,15,20,1,267
10/24/2014,40,4,20,19,70,3,0,15,54,82,10,15,20,1,353
10/25/2014,11,1,2,1,7,0,0,8,22,14,0,2,4,0,72
10/27/2014,29,0,6,7,45,0,1,15,40,48,4,15,12,0,222
10/28/2014,26,0,4,3,34,0,0,12,45,67,3,7,14,2,217
10/29/2014,20,0,3,7,34,0,0,17,34,55,5,11,20,1,207
10/30/2014,36,1,2,17,57,0,0,16,53,28,8,24,32,0,274
10/31/2014,81,2,3,17,69,0,0,16,90,98,10,16,27,0,429
11/1/2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
11/3/2014,44,1,7,15,46,0,0,12,69,72,9,23,27,0,325
11/4/2014,31,2,4,26,47,1,0,6,49,70,11,22,32,0,301
11/5/2014,36,1,2,12,38,4,0,13,43,72,12,13,20,1,267
11/6/2014,29,5,9,14,54,1,0,10,40,78,9,19,23,0,291
11/7/2014,54,2,5,16,41,0,1,10,74,65,22,24,18,0,332
11/8/2014,3,0,1,3,6,0,0,1,7,9,0,0,3,0,33
11/10/2014,21,4,2,11,42,1,0,12,56,60,6,14,16,1,246
11/11/2014,25,0,1,10,33,0,0,10,33,75,9,19,23,1,239
11/12/2014,33,5,0,13,40,0,0,15,30,41,10,16,23,1,227
11/13/2014,34,3,4,12,42,2,0,11,51,51,8,14,17,3,252
11/14/2014,54,2,4,11,75,0,0,13,94,75,25,16,18,0,387
11/15/2014,11,0,2,6,12,0,0,0,18,11,2,3,4,1,70
11/17/2014,36,2,4,18,37,4,0,17,54,61,12,21,19,2,287
11/18/2014,29,0,3,12,22,2,0,6,27,51,9,13,13,0,187
11/19/2014,32,2,8,14,32,0,0,15,49,50,11,24,23,0,260
11/20/2014,40,2,2,20,39,0,0,14,44,51,15,19,18,3,267
11/21/2014,47,3,4,23,53,0,0,15,67,86,17,15,25,1,356
11/22/2014,15,2,0,2,16,0,0,0,17,11,2,4,6,0,75
11/24/2014,32,1,1,9,44,2,0,10,48,55,14,22,22,0,260
11/25/2014,26,4,1,9,39,1,0,4,51,47,11,24,26,2,245
11/26/2014,38,2,4,10,38,1,0,11,48,80,4,22,25,1,284
11/28/2014,61,2,15,22,49,0,0,14,62,67,14,21,30,1,358
11/29/2014,5,0,5,5,13,0,0,1,10,15,4,3,6,0,67
