carrier,date, premium 
HARTFORD,12/1/2014,755
HARTFORD,12/1/2014,1067
HARTFORD,12/1/2014,621
HARTFORD,12/1/2014,312
HARTFORD,12/1/2014,854
HARTFORD,12/1/2014,1006
HARTFORD,12/1/2014,930
HARTFORD,12/1/2014,523
HARTFORD,12/1/2014,347.04
HARTFORD,12/1/2014,1031
HARTFORD,12/1/2014,459
HARTFORD,12/1/2014,405
HARTFORD,12/1/2014,458
HARTFORD,12/1/2014,994
HARTFORD,12/1/2014,681
HARTFORD,12/1/2014,3717
HARTFORD,12/1/2014,143.2
HARTFORD,12/1/2014,139
HARTFORD,12/1/2014,493
HARTFORD,12/1/2014,389
HARTFORD,12/1/2014,963.5
HARTFORD,12/1/2014,795
HARTFORD,12/1/2014,692
HARTFORD,12/1/2014,848
HARTFORD,12/1/2014,132
MERCURY,12/1/2014,563
MERCURY,12/1/2014,169.76
MERCURY,12/1/2014,1096
MERCURY,12/1/2014,980
21ST,12/1/2014,513
21ST,12/1/2014,760.94
21ST,12/1/2014,372.18
21ST,12/1/2014,436.38
21ST,12/1/2014,315.09
21ST,12/1/2014,899.53
21ST,12/1/2014,629.23
21ST,12/1/2014,423.75
21ST,12/1/2014,955.45
21ST,12/1/2014,408
21ST,12/1/2014,1414.02
21ST,12/1/2014,631.82
21ST,12/1/2014,1055.45
21ST,12/1/2014,771.85
21ST,12/1/2014,592
21ST,12/1/2014,350
21ST,12/1/2014,1745
21ST,12/1/2014,440.52
21ST,12/1/2014,630.64
21ST,12/1/2014,841.37
21ST,12/1/2014,275.21
21ST,12/1/2014,481
21ST,12/1/2014,298.6
21ST,12/1/2014,365.54
21ST,12/1/2014,197.59
21ST,12/1/2014,213
21ST,12/1/2014,205.35
21ST,12/1/2014,1255
21ST,12/1/2014,685
21ST,12/1/2014,678.87
21ST,12/1/2014,1165
21ST,12/1/2014,828.76
21ST,12/1/2014,849.65
21ST,12/1/2014,849
21ST,12/1/2014,880
21ST,12/1/2014,674.1
21ST,12/1/2014,346.11
21ST,12/1/2014,421.65
21ST,12/1/2014,277
21ST,12/1/2014,706.98
21ST,12/1/2014,929
21ST,12/1/2014,449
21ST,12/1/2014,300.29
21ST,12/1/2014,702
21ST,12/1/2014,742.87
21ST,12/1/2014,699.5
21ST,12/1/2014,385
21ST,12/1/2014,418
21ST,12/1/2014,468.21
21ST,12/1/2014,1060.87
METLIFE,12/1/2014,883
MERCURY,12/1/2014,1144
MERCURY,12/1/2014,1018
MERCURY,12/1/2014,504
MERCURY,12/1/2014,339
MERCURY,12/1/2014,551
MERCURY,12/1/2014,1489
MERCURY,12/1/2014,528
MERCURY,12/1/2014,2352
MERCURY,12/1/2014,2596
MERCURY,12/1/2014,435
MERCURY,12/1/2014,977
MERCURY,12/1/2014,659
MERCURY,12/1/2014,2900
MERCURY,12/1/2014,1992
MERCURY,12/1/2014,1806
MERCURY,12/1/2014,1559
MERCURY,12/1/2014,1327
DAIRYLAND,12/1/2014,936
PROGRESSIVE,12/1/2014,132
PROGRESSIVE,12/1/2014,483
ESURANCE,12/1/2014,777
ESURANCE,12/1/2014,1440
PROGRESSIVE,12/1/2014,429.13
PROGRESSIVE,12/1/2014,370
PROGRESSIVE,12/1/2014,419
SAFECO,12/1/2014,302
PROGRESSIVE,12/1/2014,402
PROGRESSIVE,12/1/2014,1750
PROGRESSIVE,12/1/2014,236
PROGRESSIVE,12/1/2014,550
PROGRESSIVE,12/1/2014,294
PROGRESSIVE,12/1/2014,1168
PROGRESSIVE,12/1/2014,961.2
PROGRESSIVE,12/1/2014,1011
PROGRESSIVE,12/1/2014,191
PROGRESSIVE,12/1/2014,570
PROGRESSIVE,12/1/2014,531
PROGRESSIVE,12/1/2014,278
PROGRESSIVE,12/1/2014,547
PROGRESSIVE,12/1/2014,739
PROGRESSIVE,12/1/2014,1836
PROGRESSIVE,12/1/2014,448.5
PROGRESSIVE,12/1/2014,1494
PROGRESSIVE,12/1/2014,504
PROGRESSIVE,12/1/2014,819
PROGRESSIVE,12/1/2014,443
PROGRESSIVE,12/1/2014,720
PROGRESSIVE,12/1/2014,605
PROGRESSIVE,12/1/2014,540
PROGRESSIVE,12/1/2014,1000
PROGRESSIVE,12/1/2014,262
PROGRESSIVE,12/1/2014,867
PROGRESSIVE,12/1/2014,320
PROGRESSIVE,12/1/2014,587
PROGRESSIVE,12/1/2014,407
PROGRESSIVE,12/1/2014,904
PROGRESSIVE,12/1/2014,871
PROGRESSIVE,12/1/2014,519
PROGRESSIVE,12/1/2014,319
PROGRESSIVE,12/1/2014,97
PROGRESSIVE,12/1/2014,540
PROGRESSIVE,12/1/2014,531
PROGRESSIVE,12/1/2014,359
