year,totcanes,totts,total,landTS,landCAT1,landCAT2,landCAT3,landCAT4,landCAT5,landts1,land23,land45,landcanes
1852,5,0,5,0,1,1,0,0,0,1,1,0,2
1853,4,4,8,0,0,0,0,0,0,0,0,0,0
1854,3,2,5,0,0,0,0,0,0,0,0,0,0
1855,4,1,5,0,0,0,0,0,0,0,0,0,0
1856,4,2,6,0,0,0,0,0,0,0,0,0,0
1857,3,1,4,0,0,0,0,0,0,0,0,0,0
1858,6,0,6,0,0,1,0,0,0,0,1,0,1
1859,7,1,8,0,1,0,0,0,0,1,0,0,1
1860,6,1,7,0,0,0,1,0,0,0,1,0,1
1861,6,2,8,0,1,0,0,0,0,1,0,0,1
1862,3,3,6,0,0,0,0,0,0,0,0,0,0
1863,5,4,9,0,0,0,0,0,0,0,0,0,0
1864,3,2,5,0,0,0,0,0,0,0,0,0,0
1865,3,4,7,0,0,1,0,0,0,0,1,0,1
1866,7,0,7,0,0,0,0,0,0,0,0,0,0
1867,7,2,9,0,0,1,0,0,0,0,1,0,1
1868,4,0,4,0,1,0,0,0,0,1,0,0,1
1869,7,3,10,0,0,0,0,0,0,0,0,0,0
1870,10,1,11,0,1,1,0,0,0,1,1,0,2
1871,6,2,8,0,2,0,2,0,0,2,2,0,4
1872,4,1,5,0,1,0,0,0,0,1,0,0,1
1873,3,2,5,2,1,0,1,0,0,3,1,0,2
1874,4,3,7,0,1,0,0,0,0,1,0,0,1
1875,5,1,6,0,0,0,0,0,0,0,0,0,0
1876,4,1,5,0,0,0,2,0,0,0,2,0,2
1877,3,5,8,1,1,0,3,0,0,2,0,0,4
1878,10,2,12,1,1,2,0,0,0,2,2,0,3
1879,6,2,8,0,1,0,0,0,0,1,0,0,1
1880,9,2,11,0,2,1,0,0,0,2,1,0,3
1881,4,3,7,0,0,0,0,0,0,0,0,0,0
1882,5,1,6,0,0,0,1,1,0,0,1,1,2
1883,4,0,4,0,0,0,0,0,0,0,0,0,0
1884,4,0,4,0,0,0,0,0,0,0,0,0,0
1885,6,2,8,2,2,0,1,0,0,4,1,0,3
1886,10,2,12,0,1,2,0,0,0,1,2,0,3
1887,12,7,19,0,2,1,0,0,0,2,1,0,3
1888,6,3,9,1,1,1,1,0,0,2,2,0,3
1889,6,3,9,1,1,1,0,0,0,2,1,0,2
1890,2,2,4,0,0,0,0,0,0,0,0,0,0
1891,7,3,10,2,0,0,1,0,0,2,1,0,1
1892,5,4,9,3,0,0,0,0,0,3,0,0,0
1893,10,2,12,0,1,0,2,1,0,1,2,1,4
1894,5,2,7,0,0,0,2,0,0,0,2,0,2
1895,2,4,6,2,0,0,0,0,0,2,0,0,0
1896,6,1,7,0,0,2,1,0,0,0,3,0,3
1897,3,3,6,1,0,0,0,0,0,1,0,0,0
1898,5,6,11,0,1,0,0,1,0,1,0,1,2
1899,5,4,9,1,0,1,0,0,0,1,1,0,1
1900,3,4,7,0,0,0,0,0,0,0,0,0,0
1901,5,7,12,2,2,0,0,0,0,4,0,0,2
1902,3,2,5,0,0,1,0,0,0,0,1,0,1
1903,7,3,10,0,1,0,0,0,0,1,0,0,1
1904,3,2,5,1,1,0,0,0,0,2,0,0,1
1905,1,4,5,0,0,0,0,0,0,0,0,0,0
1906,6,5,11,1,0,1,2,0,0,1,3,0,3
1907,0,5,5,1,0,0,0,0,0,1,0,0,0
1908,6,4,10,0,0,0,0,0,0,0,0,0,0
1909,6,5,11,3,0,0,1,0,0,3,1,0,1
1910,3,2,5,0,0,0,0,1,0,0,0,1,1
1911,3,1,4,0,0,0,0,0,0,0,0,0,0
1912,4,2,6,0,0,0,0,0,0,0,0,0,0
1913,3,1,4,0,0,0,0,0,0,0,0,0,0
1914,0,1,1,1,0,0,0,0,0,1,0,0,0
1915,4,1,5,1,0,2,0,0,0,1,0,0,2
1916,11,3,14,1,1,0,0,0,0,2,0,0,1
1917,2,1,3,0,0,0,0,0,0,0,0,0,0
1918,3,2,5,0,0,0,0,0,0,0,0,0,0
1919,1,2,3,0,0,0,0,0,0,0,0,0,0
1920,4,0,4,0,1,0,0,0,0,1,0,0,1
1921,4,2,6,0,0,0,0,1,0,0,0,1,1
1922,2,2,4,0,0,0,0,0,0,0,0,0,0
1923,3,4,7,0,0,0,0,0,0,0,0,0,0
1924,5,3,8,1,1,0,1,0,0,2,1,0,2
1925,1,1,2,0,0,1,0,0,0,0,1,0,1
1926,8,3,11,0,0,0,0,3,0,0,0,3,3
1927,4,3,7,0,0,0,0,0,0,0,0,0,0
1928,4,2,6,0,1,1,0,0,0,1,1,0,2
1929,3,0,3,0,0,0,0,1,0,0,0,1,1
1930,2,0,2,0,0,1,0,0,0,0,1,0,1
1931,2,7,9,0,0,0,0,0,0,0,0,0,0
1932,6,5,11,1,1,0,0,0,0,2,0,0,1
1933,10,11,21,0,1,0,0,2,0,1,0,2,3
1934,6,5,11,1,1,0,0,0,0,2,0,0,1
1935,5,1,6,0,1,0,0,0,1,1,0,1,2
1936,7,9,16,2,1,0,0,0,0,3,0,0,1
1937,3,6,9,3,0,0,0,0,0,3,0,0,0
1938,3,5,8,0,0,0,0,0,0,0,0,0,0
1939,3,2,5,0,1,0,0,0,0,1,0,0,1
1940,4,4,8,0,1,0,0,0,0,1,0,0,1
1941,4,2,6,0,0,0,1,0,0,0,1,0,1
1942,4,6,10,0,0,0,0,0,0,0,0,0,0
1943,5,5,10,0,0,0,0,0,0,0,0,0,0
1944,7,4,11,0,0,0,0,0,0,0,0,0,0
1945,5,6,11,1,0,0,2,1,0,1,2,1,3
1946,3,3,6,1,0,0,0,1,0,1,0,1,1
1947,5,4,9,2,1,0,0,0,1,3,0,1,2
1948,6,3,9,0,0,0,1,1,0,0,1,1,2
1949,7,6,13,0,0,0,0,1,0,0,0,1,1
1950,11,2,13,0,1,0,2,0,0,1,2,0,3
1951,8,2,10,0,0,1,0,0,0,0,1,0,1
1952,6,1,7,0,0,0,0,0,0,0,0,0,0
1953,6,8,14,1,0,0,0,0,0,1,0,0,0
1954,8,3,11,0,0,0,0,0,0,0,0,0,0
1955,9,3,12,0,0,0,0,0,0,0,0,0,0
1956,4,4,8,0,1,0,0,0,0,1,0,0,1
1957,3,5,8,1,1,0,0,0,0,2,0,0,1
1958,7,3,10,0,0,0,0,0,0,0,0,0,0
1959,7,4,11,2,1,0,0,0,0,3,0,0,1
1960,4,3,7,1,0,0,0,0,1,1,0,1,1
1961,8,3,11,0,0,0,0,0,0,0,0,0,0
1962,3,2,5,0,0,1,0,0,0,0,1,0,1
1963,7,2,9,0,0,0,0,0,0,0,0,0,0
1964,6,6,12,1,0,0,1,2,0,1,1,2,3
1965,4,2,6,1,0,0,0,1,0,1,0,1,1
1966,7,4,11,0,0,0,2,1,0,0,2,1,3
1967,6,2,8,0,0,0,0,0,0,0,0,0,0
1968,5,3,8,0,2,0,0,0,0,2,0,0,2
1969,12,6,18,2,0,0,1,0,0,2,1,0,1
1970,5,5,10,2,1,0,0,0,0,3,0,0,1
1971,6,7,13,0,0,0,0,0,0,0,0,0,0
1972,3,4,7,0,2,0,0,0,0,2,0,0,2
1973,4,4,8,0,0,0,0,0,0,0,0,0,0
1974,4,7,11,2,0,0,0,0,0,2,0,0,0
1975,6,3,9,0,0,0,0,0,0,0,0,0,0
1976,6,4,10,3,0,0,0,0,0,3,0,0,0
1977,5,1,6,0,0,0,0,0,0,0,0,0,0
1978,5,7,12,0,0,0,0,0,0,0,0,0,0
1979,6,3,9,0,0,0,0,0,1,0,0,1,1
1980,9,2,11,0,0,0,0,0,0,0,0,0,0
1981,7,5,12,0,1,0,0,0,0,1,0,0,1
1982,2,4,6,1,0,0,0,0,0,1,0,0,0
1983,3,1,4,0,1,0,0,0,0,1,0,0,1
1984,5,8,13,1,0,0,0,0,0,1,0,0,0
1985,7,4,11,1,1,0,0,0,0,2,0,0,1
1986,4,2,6,0,0,0,0,0,0,0,0,0,0
1987,3,4,7,0,1,0,0,0,0,1,0,0,1
1988,6,6,12,2,0,0,0,0,0,2,0,0,0
