Train,Date,Day,Leads,Month,Binds,DailyEV,MTD,DialerHC,TotalHC,Age
Train,6/30/2014,Mon,16005,6,443,209.27,201.5,171,190,221
Train,7/1/2014,Tue,16953,7,419,202.2325239,202.2325239,169,190,222.5
Train,7/2/2014,Wed,15069,7,387,208.7082882,205.3418549,176,190,223.5
Train,7/3/2014,Thur,14269,7,508,201.029465,203.67466,168,190,224.4
Train,7/4/2014,Fri,2,7,0,0,203.67466,168,190,210
Train,7/5/2014,Sat,1,7,0,0,203.67466,0,190,209
Train,7/6/2014,Sun,0,7,0,0,203.67466,0,190,208
Train,7/7/2014,Mon,15099,7,333,214.3609717,205.9153079,186,202,207
Train,7/8/2014,Tue,15230,7,356,198.4770331,204.5939377,192,202,208
Train,7/9/2014,Wed,14531,7,360,208.7328367,205.2242269,185,201,209.7
Train,7/10/2014,Thur,15309,7,405,210.5636638,206.0051846,187,198,212.3
Train,7/11/2014,Fri,14874,7,472,206.4567124,206.0709425,185,198,213.2
Train,7/12/2014,Sat,3695,7,19,266,206,30,198,214.2
Train,7/13/2014,Sun,6,7,0,0,206.0709425,0,198,215.2
Train,7/14/2014,Mon,14613,7,379,205.7012809,206.342893,181,197,217
Train,7/15/2014,Tue,14170,7,353,197.566741,205.5668455,177,196,215.7
Train,7/16/2014,Wed,15143,7,307,203.4490073,205.4156065,177,194,217.4
Train,7/17/2014,Thur,15049,7,339,205.1352682,205.3951161,175,193,218.1
Train,7/18/2014,Fri,13018,7,456,210.0276865,205.8098102,168,188,219.6
Train,7/19/2014,Sat,1024,7,55,191,206,52,188,220.6
Train,7/20/2014,Sun,0,7,0,0,205.8098102,0,188,221.6
Train,7/21/2014,Mon,12288,7,321,188.8245193,204.6636159,172,187,221
Train,7/22/2014,Tue,8916,7,194,218.0069713,205.1206447,176,185,224
Train,7/23/2014,Wed,9065,7,306,217.288308,205.7443139,172,185,225
Train,7/24/2014,Thur,8991,7,261,230.8659647,206.7965929,164,185,226
Train,7/25/2014,Fri,8797,7,403,225.6533673,207.9420979,169,183,228.6
Train,7/26/2014,Sat,1332,7,5,188.56,207.9097235,62,183,229.6
Train,7/27/2014,Sun,0,7,0,0,207.9420979,0,183,230.6
Train,7/28/2014,Mon,9159,7,311,232.4556122,208.9588726,156,182,232.7
Train,7/29/2014,Tue,9159,7,301,217.5761994,209.3136551,181,200,212.8
Train,7/30/2014,Wed,9256,7,316,245.5512905,210.815044,183,200,213.7
Train,7/31/2014,Thur,9443,7,405,223.1203091,211.4355161,183,200,211.9
Train,8/1/2014,Fri,9338,8,517,215.2650634,215.2650634,187,199,213.9
Train,8/2/2014,Sat,2,8,5,188.56,215.0092678,55,199,214.9
Train,8/3/2014,Sun,3,8,0,0,215.2650634,0,199,215.9
Train,8/4/2014,Mon,10067,8,352,204.8137543,211.0275809,180,199,216.6
Train,8/5/2014,Tue,9954,8,314,222.1104132,213.954418,180,199,218.6
Train,8/6/2014,Wed,9981,8,327,216.6481337,214.5354504,182,199,219.6
Train,8/7/2014,Thur,9989,8,338,214.2266241,214.4791487,177,199,220.6
Train,8/8/2014,Fri,9946,8,422,247.391743,220.5815717,176,198,222.6
Train,8/9/2014,Sat,1236,8,54,198.91,#N/A,43,198,223.6
Train,8/10/2014,Sun,0,8,0,0,220.5815717,0,198,224.6
Train,8/11/2014,Mon,9339,8,301,209.9063767,218.9155182,167,198,225.6
Train,8/12/2014,Tue,9521,8,264,220.5024848,219.0602364,172,195,227.5
Train,8/13/2014,Wed,10782,8,288,219.2135133,219.074105,193,210,209.9
Train,8/14/2014,Thur,10073,8,300,221.5499207,219.2873536,183,209,210.2
Train,8/15/2014,Fri,9669,8,395,213.109622,218.6581107,177,209,211.2
Train,8/16/2014,Sat,990,8,52,196,217,39,209,212.2
Train,8/17/2014,Sun,2,8,0,0,218.6581107,0,209,213.2
Train,8/18/2014,Mon,9935,8,269,222.4716987,218.6271485,176,209,214.2
Train,8/19/2014,Tue,10061,8,271,226.1987111,219.0861851,178,206,214.1
Train,8/20/2014,Wed,9876,8,266,217.9557254,219.0226922,175,197,217.6
Train,8/21/2014,Thur,9857,8,291,217.7204355,218.9473079,176,197,218.6
Train,8/22/2014,Fri,9642,8,362,210.4343693,218.3754609,168,197,219.6
Train,8/23/2014,Sat,1249,8,58,192,217.39,49,197,220.6
Train,8/24/2014,Sun,0,8,0,0,218.3754609,0,197,221.6
Train,8/25/2014,Mon,10241,8,280,223.7213417,218.3788329,167,197,222.6
Train,8/26/2014,Tue,9748,8,260,240.8755312,219.3558066,185,216,199
Train,8/27/2014,Wed,4384,8,149,214.9563645,219.2489753,147,167,187.8
Train,8/28/2014,Thur,7367,8,203,219.0979045,219.2441374,147,167,185.6
Train,8/29/2014,Fri,7226,8,314,211.8409185,218.8947295,142,167,186.5
Train,8/30/2014,Sat,1,8,0,0,218.8947295,0,167,187.5
Train,8/31/2014,Sun,1,8,0,0,218.8947295,0,167,188.5
Train,9/1/2014,Mon,1,9,0,0,0,0,167,189.5
Train,9/2/2014,Tue,7548,9,259,238.6144147,240.3180908,139,166,187.5
Train,9/3/2014,Wed,7434,9,309,242.2026098,242.0974308,150,166,188.5
Train,9/4/2014,Thur,7093,9,273,256.5830638,247.353716,152,161,191.4
Train,9/5/2014,Fri,6283,9,332,242.0458326,246.1315143,150,160,193.6
Train,9/6/2014,Sat,8,9,15,200.7778269,245.5549844,14,160,194.6
Train,9/7/2014,Sun,0,9,0,0,245.5549844,0,160,195.6
Train,9/8/2014,Mon,6614,9,248,232.9105748,243.6970146,144,160,196.5
Train,9/9/2014,Tue,6566,9,248,223.8462977,240.8802824,152,160,197.5
Train,9/10/2014,Wed,6761,9,259,229.7317562,239.5026425,152,157,195.9
Train,9/11/2014,Thur,7294,9,272,255.3675784,241.5631199,154,163,189.7
Train,9/12/2014,Fri,7145,9,365,249.3844386,242.7578193,153,163,190.7
Train,9/13/2014,Sat,1275,9,32,187.5682926,242.077779,45,163,191.7
Train,9/14/2014,Sun,36,9,0,0,242.077779,0,163,192.7
Train,9/15/2014,Mon,7190,9,249,229.5287905,241.1106636,156,172,183.5
Train,9/16/2014,Tue,6657,9,214,257.8348364,242.4864092,154,171,184
Train,9/17/2014,Wed,6676,9,242,240.9694452,242.375064,151,172,185.5
Train,9/18/2014,Thur,6636,9,251,245.8319359,242.8462032,155,168,186.3
Train,9/19/2014,Fri,6691,9,337,234.1483366,242.2547913,156,167,188.3
Train,9/20/2014,Sat,2649,9,115,255.0324851,242.6228861,86,167,189.3
Train,9/21/2014,Sun,21,9,0,0,242.6228861,0,167,190.3
Train,9/22/2014,Mon,7486,9,262,225.5011337,241.5683729,145,168,190.3
Train,9/23/2014,Tue,7608,9,267,247.3092143,242.0233822,153,167,192.2
Train,9/24/2014,Wed,7745,9,315,234.9077383,241.5968725,152,163,191
Train,9/25/2014,Thur,7715,9,284,249.5743872,242.1705135,149,163,192
Train,9/26/2014,Fri,7708,9,342,233.1928509,241.7103752,148,163,192.9
Train,9/27/2014,Sat,987,9,79,250.4358325,241.835002,67,163,193.9
Train,9/28/2014,Sun,22,9,0,0,241.835002,0,163,194.9
Train,9/29/2014,Mon,8012,9,309,232.253703,241.404875,154,163,195.9
Train,9/30/2014,Tue,7950,9,319,248.7141137,241.8204378,148,163,195.9
Train,10/1/2014,Wed,7851,10,328,246.5497102,250.3507651,148,163,197.9
Train,10/2/2014,Thur,7750,10,266,265.2967448,257.8960221,149,162,199.4
Train,10/3/2014,Fri,7935,10,453,238.2744528,250.594898,154,162,200.5
Train,10/4/2014,Sat,963,10,0,0,250.594898,1,162,201.5
Train,10/5/2014,Sun,22,10,0,0,250.594898,0,162,202.5
Train,10/6/2014,Mon,7937,10,248,270.4507835,254.6113606,147,179,182.9
Train,10/7/2014,Tue,7318,10,236,261.9696474,256.1613442,151,179,183.9
Train,10/8/2014,Wed,7714,10,220,232.1352115,253.7086864,143,179,184.9
Train,10/9/2014,Thur,7253,10,251,252.8299117,254.0632619,151,176,186.2
Train,10/10/2014,Fri,7269,10,332,259.350941,255.2798926,146,176,187.2
Train,10/11/2014,Sat,2395,10,36,234.9702773,254.9671697,33,176,188.2
Train,10/12/2014,Sun,19,10,0,0,254.9671697,0,176,189.2
Train,10/13/2014,Mon,7642,10,187,264.0389973,255.9164615,132,177,191.8
Train,10/14/2014,Tue,7719,10,228,267.2842227,257.1898408,139,177,192.8
Train,10/15/2014,Wed,7794,10,257,248.1103793,256.7026988,143,176,191.1
