Date,Month,Day,Binds,DailyEV,MTDEV,DialerHC,OutBoundLeads,Conversion,LeadsperAgent,TotalHC,Unavail,Age,InBinds,InCalls,OutBinds,Attend,BindsperAgent
7/1/2014,7,Tue,419,202.2325239,202.2325239,169,16953,0.02471539,100.3136095,190,21,222.5,56,151,363,0.889473684,2.205263158
7/2/2014,7,Wed,387,208.7082882,205.3418549,176,15069,0.025681863,85.61931818,190,14,223.5,55,125,332,0.926315789,2.036842105
7/3/2014,7,Thur,508,201.029465,203.67466,168,14269,0.035601654,84.93452381,190,22,224.4,64,160,444,0.884210526,2.673684211
7/7/2014,7,Mon,333,214.3609717,205.9153079,186,15099,0.022054441,81.17741935,202,16,207,58,188,275,0.920792079,1.648514851
7/8/2014,7,Tue,356,198.4770331,204.5939377,192,15230,0.023374918,79.32291667,202,10,208,53,174,303,0.95049505,1.762376238
7/9/2014,7,Wed,360,208.7328367,205.2242269,185,14531,0.02477462,78.54594595,201,16,209.7,53,162,307,0.92039801,1.791044776
7/10/2014,7,Thur,405,210.5636638,206.0051846,187,15309,0.026455026,81.86631016,198,11,212.3,64,160,341,0.944444444,2.045454545
7/11/2014,7,Fri,472,206.4567124,206.0709425,185,14874,0.031733226,80.4,198,13,213.2,75,151,397,0.934343434,2.383838384
7/14/2014,7,Mon,379,205.7012809,206.342893,181,14613,0.025935811,80.73480663,197,16,217,69,189,310,0.918781726,1.923857868
7/15/2014,7,Tue,353,197.566741,205.5668455,177,14170,0.024911785,80.05649718,196,19,215.7,52,130,301,0.903061224,1.801020408
7/16/2014,7,Wed,307,203.4490073,205.4156065,177,15143,0.020273394,85.55367232,194,17,217.4,62,158,245,0.912371134,1.582474227
7/17/2014,7,Thur,339,205.1352682,205.3951161,175,15049,0.022526414,85.99428571,193,18,218.1,67,152,272,0.906735751,1.756476684
7/18/2014,7,Fri,456,210.0276865,205.8098102,168,13018,0.035028422,77.48809524,188,20,219.6,75,158,381,0.893617021,2.425531915
7/21/2014,7,Mon,321,188.8245193,204.6636159,172,12288,0.026123047,71.44186047,187,15,221,76,167,245,0.919786096,1.71657754
7/22/2014,7,Tue,194,218.0069713,205.1206447,176,8916,0.021758636,50.65909091,185,9,224,55,98,139,0.951351351,1.048648649
7/23/2014,7,Wed,306,217.288308,205.7443139,172,9065,0.033756205,52.70348837,185,13,225,73,150,233,0.92972973,1.654054054
7/24/2014,7,Thur,261,230.8659647,206.7965929,164,8991,0.029029029,54.82317073,185,21,226,75,210,186,0.886486486,1.410810811
7/25/2014,7,Fri,403,225.6533673,207.9420979,169,8797,0.045811072,52.05325444,183,14,228.6,91,213,312,0.923497268,2.202185792
7/28/2014,7,Mon,311,232.4556122,208.9588726,156,9159,0.033955672,58.71153846,182,26,232.7,76,251,235,0.857142857,1.708791209
7/29/2014,7,Tue,301,217.5761994,209.3136551,181,9159,0.03286385,50.60220994,200,19,212.8,83,188,218,0.905,1.505
7/30/2014,7,Wed,316,245.5512905,210.815044,183,9256,0.034140017,50.57923497,200,17,213.7,87,19,229,0.915,1.58
7/31/2014,7,Thur,405,223.1203091,211.4355161,183,9443,0.042888912,51.6010929,200,17,211.9,115,26,290,0.915,2.025
8/1/2014,8,Fri,517,215.2650634,215.2650634,187,9338,0.055365175,49.93582888,199,12,213.9,61,299,456,0.939698492,2.59798995
8/4/2014,8,Mon,352,204.8137543,211.0275809,180,10067,0.03496573,55.92777778,199,19,216.6,48,313,304,0.904522613,1.768844221
8/5/2014,8,Tue,314,222.1104132,213.954418,180,9954,0.031545107,55.3,199,19,218.6,28,227,286,0.904522613,1.577889447
8/6/2014,8,Wed,327,216.6481337,214.5354504,182,9981,0.032762248,54.84065934,199,17,219.6,42,27,285,0.914572864,1.64321608
8/7/2014,8,Thur,338,214.2266241,214.4791487,177,9989,0.033837221,56.43502825,199,22,220.6,48,297,290,0.889447236,1.698492462
8/8/2014,8,Fri,422,247.391743,220.5815717,176,9946,0.042429117,56.51136364,198,22,222.6,54,268,368,0.888888889,2.131313131
8/11/2014,8,Mon,301,209.9063767,218.9155182,167,9339,0.032230432,55.92215569,198,31,225.6,49,267,252,0.843434343,1.52020202
8/12/2014,8,Tue,264,220.5024848,219.0602364,172,9521,0.02772818,55.35465116,195,23,227.5,32,247,232,0.882051282,1.353846154
8/13/2014,8,Wed,288,219.2135133,219.074105,193,10782,0.026711185,55.86528497,210,17,209.9,38,244,250,0.919047619,1.371428571
8/14/2014,8,Thur,300,221.5499207,219.2873536,183,10073,0.029782587,55.04371585,209,26,210.2,29,239,271,0.875598086,1.435406699
8/15/2014,8,Fri,395,213.109622,218.6581107,177,9669,0.040852208,54.62711864,209,32,211.2,68,275,327,0.846889952,1.889952153
8/18/2014,8,Mon,269,222.4716987,218.6271485,176,9935,0.027075994,56.44886364,209,33,214.2,43,312,226,0.842105263,1.28708134
