Month,Premium,LNPremium,Channel
Nov,921,6.825460036,Outbound
Nov,1075,6.980075941,Outbound
Nov,604,6.403574198,Inbound
Nov,707,6.561030666,Outbound
Nov,1344,7.203405521,Outbound
Nov,1509,7.319202459,Outbound
Nov,1000,6.907755279,Outbound
Nov,1353.7,7.210596863,Inbound
Nov,991,6.898714534,Outbound
Nov,1680,7.426549072,Outbound
Nov,1360,7.215239979,Outbound
Nov,1187.8,7.079858136,Outbound
Nov,506,6.226536669,Outbound
Nov,1228,7.113142109,Inbound
Nov,761,6.634633358,Inbound
Nov,825,6.715383386,Inbound
Nov,952,6.858565035,Inbound
Nov,407,6.008813185,Inbound
Nov,348,5.85220248,Outbound
Nov,639,6.459904454,Outbound
Nov,769,6.64509097,Outbound
Nov,635,6.453624999,Outbound
Nov,445,6.098074282,Outbound
Nov,973,6.880384082,Outbound
Nov,923,6.827629235,Inbound
Nov,2554,7.845416037,Outbound
Nov,572,6.349138991,Outbound
Nov,1027,6.93439721,Outbound
Nov,824,6.71417053,Inbound
Nov,739,6.605297921,Inbound
Nov,1016,6.923628628,Outbound
Nov,708,6.562444094,Outbound
Nov,883,6.783325201,Outbound
Nov,888,6.788971743,Outbound
Nov,1114,7.01571242,Outbound
Nov,1224,7.109879463,Outbound
Nov,844,6.738152495,Outbound
Nov,580,6.363028104,Outbound
Nov,441,6.089044875,Outbound
Nov,1005,6.91274282,Outbound
Nov,2214,7.702556113,Outbound
Nov,425,6.052089169,Inbound
Nov,662,6.495265556,Inbound
Nov,960,6.866933284,Inbound
Nov,423,6.047372179,Outbound
Nov,323,5.777652323,Outbound
Nov,435,6.075346031,Outbound
Nov,608,6.410174882,Inbound
Nov,773,6.650279049,Outbound
Nov,798,6.682108597,Inbound
Nov,775,6.652863029,Inbound
Nov,545,6.300785795,Outbound
Nov,705,6.558197803,Inbound
Nov,644,6.467698726,Inbound
Nov,400,5.991464547,Inbound
Nov,585,6.371611847,Inbound
Nov,396,5.981414211,Inbound
Nov,357,5.877735782,Inbound
Nov,1929,7.564757013,Inbound
Nov,575,6.354370041,Outbound
Nov,1205,7.094234846,Outbound
Nov,1014,6.921658184,Outbound
Nov,575,6.354370041,Outbound
Nov,1262,7.140453043,Outbound
Nov,1087,6.991176887,Outbound
Nov,804,6.689599269,Outbound
Nov,772,6.64898455,Inbound
Nov,1803,7.497207223,Outbound
Nov,408,6.011267174,Outbound
Nov,785,6.665683718,Outbound
Nov,557,6.32256524,Outbound
Nov,1051,6.957497371,Outbound
Nov,784,6.66440902,Outbound
Nov,754,6.625392368,Outbound
Nov,628,6.442540166,Outbound
