Date,AK,AL,AR,AZ,CA,CO,CT,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NA,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,VT,WA,WI,WV
Mix,0,0.028846154,0.022157191,0.018394649,0.00041806,0.019648829,0.038879599,0.006688963,0.081939799,0,0,0,0.007107023,0.008779264,0,0,0,0,0,0,0.017558528,0.04264214,0.014214047,0,0.003762542,0,0,0.056438127,0.010869565,0,0.048494983,0.06229097,0.035117057,0.017558528,0.035117057,0,0.032608696,0.028010033,0.252090301,0.010869565,0.050585284,0,0.029682274,0.004598662,0.014632107
9/2/2014,,191.2528571,289.605,,240.8966667,299.6366667,224.882,499.22,226.2735,56.93,,220,267.795,157.11,510.714,,,,,,452.37,310.79625,292.25,,126.83,,,302.2676923,,,315.8325,189.6046154,282.94,271.7233333,205.3692308,,200.2364286,327.7972727,303.0324324,220,244.0784615,,267.18,143.9866667,197.87
9/3/2014,,322.147,253.876,250.2,187.3866667,219.35625,243.9623077,259.7357143,220.8354167,,,,,279.75,,,,,,,242.4783333,248.0985714,275.915,,150.935,,,367.6141667,412.3,,295.3275862,209.2735,387.3666667,165.315,233.1205,,323.555,163.7738462,284.4863043,161.88,303.2475,,286.5942857,217.982,264.464
9/4/2014,,361.409,298.6025,216.815,217.41,244.316,329.0714286,310.7375,204.7628571,220,,42.64,260.6071429,220.63,,,,,,,321.484,281.02875,175.3642857,,511.01,,,480.5027273,535.3,,263.3090909,301.3214815,,228.615,125.6807143,,261.3941667,206.7388889,296.1572727,312.885,195.314,,290.2985714,386.765,206.995
9/5/2014,,237.16125,257.84,189.755,277.935,211.8433333,283.4066667,285.2166667,274.01,,,57.3,200.196,199.82625,529.07,,,,,,255.0085714,189.935,280.475,,,,,427.1464706,406.6066667,285.57,251.4890323,187.2513333,299.8507143,222.1314286,202.3338235,,231.2026667,294.13,262.2314894,227.2766667,250.665,389.84,192.8125,382.0628571,625.92
9/6/2014,,,,,,,,,148.552,,,,,,,,,,,,,,,,,,,,,,,270.515,246.85,,408.15,,475,229.595,139.385,,,,,,
9/8/2014,,150.03,194.9666667,392.6966667,325,213.2442857,257.2327273,469.5533333,196.2043478,,,,82.23,122.1366667,225,,,,,,261.32,95.76333333,308.4075,,112.15,,,392.6575,130.885,,306.6095455,235.78875,183.11,291.355,213.0947059,,227.094,319.65875,296.0583333,138.685,339.43,,229.57,183.0125,522.86
9/9/2014,,218.7566667,142.01,142.635,,254.156,392.8169231,350.8416667,205.5027273,,,,175.778,,,,,,,,177.966,197.04,166.12,,220,,,261.72875,130.05,,202.854375,182.0845833,254.9575,181.03,171.7792857,,205.29,218.1873333,315.9588571,365.34,285.8527778,,121.015,339.455,579.97
9/10/2014,,256.76875,433.88,272.1,,126.5583333,367.0072727,227.7325,199.3577778,,,220,214.7375,115.6433333,,,,,,,267.15,189.21,323.795,,,,,392.8292308,168.2266667,,308.5109091,242.5724,161.85,250.7116667,163.47,,308.866,178.5622222,240.8241304,250.4816667,265.998,,276.5554545,,273.7066667
9/11/2014,,253.7325,156.288,238.8925,161.73,159.774,317.3966667,369.398,218.9125806,,,177.28,246.306,198.744,97.325,230.62,,,,,212.54,279.892,434.9816667,,,,,388.7309091,,,352.6981818,157.3885,297.4975,184.782,120.3733333,,330.1761111,265.0433333,345.9637778,,413.3714286,,297.5328571,341.53,393.1775
