Date,Day,Month,DayOfWeek,Weekday,Binds Volume,Daily EV Avg,MTD EV,HC,OutBound Leads
7/1/2014,1,7,2,Tue,419,202.2325239,202.2325239,169,16953
7/2/2014,2,7,3,Wed,387,208.7082882,205.3418549,176,15069
7/3/2014,3,7,4,Thur,508,201.029465,203.67466,168,14269
7/7/2014,7,7,1,Mon,333,214.3609717,205.9153079,186,15099
7/8/2014,8,7,2,Tue,356,198.4770331,204.5939377,192,15230
7/9/2014,9,7,3,Wed,360,208.7328367,205.2242269,185,14531
7/10/2014,10,7,4,Thur,405,210.5636638,206.0051846,187,15309
7/11/2014,11,7,5,Fri,472,206.4567124,206.0709425,185,14874
7/14/2014,14,7,1,Mon,379,205.7012809,206.342893,181,14613
7/15/2014,15,7,2,Tue,353,197.566741,205.5668455,177,14170
7/16/2014,16,7,3,Wed,307,203.4490073,205.4156065,177,15143
7/17/2014,17,7,4,Thur,339,205.1352682,205.3951161,175,15049
7/18/2014,18,7,5,Fri,456,210.0276865,205.8098102,168,13018
7/21/2014,21,7,1,Mon,321,188.8245193,204.6636159,172,12288
7/22/2014,22,7,2,Tue,194,218.0069713,205.1206447,176,8916
7/23/2014,23,7,3,Wed,306,217.288308,205.7443139,172,9065
7/24/2014,24,7,4,Thur,261,230.8659647,206.7965929,164,8991
7/25/2014,25,7,5,Fri,403,225.6533673,207.9420979,169,8797
7/28/2014,28,7,1,Mon,311,232.4556122,208.9588726,156,9159
7/29/2014,29,7,2,Tue,301,217.5761994,209.3136551,181,9159
7/30/2014,30,7,3,Wed,316,245.5512905,210.815044,183,9256
7/31/2014,31,7,4,Thur,405,223.1203091,211.4355161,183,9443
8/1/2014,1,8,5,Fri,517,215.2650634,215.2650634,187,9338
8/4/2014,4,8,1,Mon,352,204.8137543,211.0275809,180,10067
8/5/2014,5,8,2,Tue,314,222.1104132,213.954418,180,9954
8/6/2014,6,8,3,Wed,327,216.6481337,214.5354504,182,9981
8/7/2014,7,8,4,Thur,338,214.2266241,214.4791487,177,9989
8/8/2014,8,8,5,Fri,422,247.391743,220.5815717,176,9946
8/11/2014,11,8,1,Mon,301,209.9063767,218.9155182,167,9339
8/12/2014,12,8,2,Tue,264,220.5024848,219.0602364,172,9521
8/13/2014,13,8,3,Wed,288,219.2135133,219.074105,193,10782
8/14/2014,14,8,4,Thur,300,221.5499207,219.2873536,183,10073
8/15/2014,15,8,5,Fri,395,213.109622,218.6581107,177,9669
8/18/2014,18,8,1,Mon,269,222.4716987,218.6271485,176,9935
8/19/2014,19,8,2,Tue,271,226.1987111,219.0861851,178,10061
8/20/2014,20,8,3,Wed,266,217.9557254,219.0226922,175,9876
8/21/2014,21,8,4,Thur,291,217.7204355,218.9473079,176,9857
8/22/2014,22,8,5,Fri,362,210.4343693,218.3754609,168,9642
8/25/2014,25,8,1,Mon,280,223.7213417,218.3788329,167,10241
8/26/2014,26,8,2,Tue,260,240.8755312,219.3558066,185,9748
8/27/2014,27,8,3,Wed,149,214.9563645,219.2489753,147,4384
8/28/2014,28,8,4,Thur,203,219.0979045,219.2441374,147,7367
8/29/2014,29,8,5,Fri,314,211.8409185,218.8947295,142,7226
9/2/2014,2,9,2,Tue,257,265.0996867,265.0996867,139,7531
9/3/2014,3,9,3,Wed,307,257.0962958,260.743231,150,7418
9/4/2014,4,9,4,Thur,271,270.2686829,263.834725,152,7075
9/5/2014,5,9,5,Fri,330,256.4962582,261.7560176,150,6271
9/8/2014,8,9,1,Mon,245,254.1479176,259.9526278,144,6592
9/9/2014,9,9,2,Tue,247,240.4487229,257.0713691,152,6552
9/10/2014,10,9,3,Wed,258,248.7568201,255.9598905,152,6760
9/11/2014,11,9,4,Thur,271,279.4231469,258.848824,154,7294
9/12/2014,12,9,5,Fri,364,270.4089767,260.4893291,153,7145
9/15/2014,15,9,1,Mon,247,250.4031219,259.0194914,156,7190
9/16/2014,16,9,2,Tue,211,281.6018379,260.5791887,154,6657
9/17/2014,17,9,3,Wed,242,255.2678481,260.1893359,151,6676
9/18/2014,18,9,4,Thur,245,272.5506753,261.0443693,155,6636
9/19/2014,19,9,5,Fri,332,256.5330545,260.6577517,156,6691
9/22/2014,22,9,1,Mon,260,239.6369345,259.6941117,145,7486
9/23/2014,23,9,2,Tue,262,265.0287631,260.004087,153,7608
9/24/2014,24,9,3,Wed,308,252.0675487,259.4966231,152,7745
9/25/2014,25,9,4,Thur,276,273.5000375,260.2554965,149,7715
9/26/2014,26,9,5,Fri,334,247.7536196,259.4860793,148,7697
9/29/2014,29,9,1,Mon,303,252.9700127,259.4849,154,8012
9/30/2014,30,9,2,Tue,316,261.4075069,259.5841557,148,7950
10/1/2014,1,10,3,Wed,322,250.3507651,250.3507651,148,7850
10/2/2014,2,10,4,Thur,264,267.0989491,257.8960221,149,7750
10/3/2014,3,10,5,Fri,447,241.023402,250.594898,154,7935
10/6/2014,6,10,1,Mon,247,271.4089551,254.6113606,147,7937
