Storm,DateFactor,InsuredLoss,Countries,Umax,LowestMSLP,MaxVorticity,Sft,DateClean,Year,Length,Month,Season
Nov-81,2/11/1981,NA,Denmark and Poland,36.01,979.49,9.42,32.07,2/11/81,1981,5,11,1980
Jan-83,18/1/1983,NA,"Denmark, Poland and Sweden",34.53,959.83,9.72,17.94,18/1/1983,1983,9,1,1982
Feb-83,1/2/1983,NA,Ireland and United Kingdom,32.29,952.87,10.79,24.16,1/2/83,1983,5,2,1983
13-Jan-84,13/1/1984,NA,Norway and United Kingdom,33.75,942.63,11.02,27.53,13/1/1984,1984,9,1,1983
14-Jan-84,14/1/1984,NA,Netherlands,34.71,961.23,8,27.14,14/1/1984,1984,9,1,1983
Nov-84,23/11/1984,NA,France,35.54,964.96,7.54,58.36,23/11/1984,1984,10,11,1983
Jan-86,20/1/1986,NA,Denmark and Germany,31.86,971.06,9.44,29.77,20/1/1986,1986,9,1,1985
Mar-86,25/3/1986,NA,Netherlands,30.77,955.76,9.21,16.4,25/3/1986,1986,9,3,1985
Oct-86,20/10/1986,NA,"Germany, Netherlands and Poland",35.8,966.33,7.73,26.79,20/10/1986,1986,10,10,1985
Great Storm of 87,16/10/1987,6.3bn,France and United Kingdom,39.53,955.97,10.17,38.42,16/10/1987,1987,10,10,1986
Feb-88,9/2/1988,NA,Ireland and United Kingdom,35.79,941.97,13.25,17.42,9/2/88,1988,5,2,1988
Nov-88,29/11/1988,NA,"Belarus, Lithuania and Poland",30.84,967.04,10.04,18.33,29/11/1988,1988,10,11,1987
Daria (Burns' Day storm),25/1/1990,8.2bn,"Belgium, France, Germany, Netherlands and United Kingdom",37.92,948.62,11.89,48.05,25/1/1990,1990,9,1,1989
Herta,3/2/1990,1.5bn,"Belgium, France, Germany, Netherlands and United Kingdom",33.16,944.78,13.36,15.94,3/2/90,1990,5,2,1990
8-Feb-90,8/2/1990,NA,"Denmark, France and United Kingdom",35.02,974.35,8.78,15.9,8/2/90,1990,5,2,1990
11-Feb-90,11/2/1990,NA,France and United Kingdom,31.9,957.28,10.47,16.72,11/2/90,1990,5,2,1990
Vivian,26/2/1990,5.6bn,"Belgium, France, Germany, Netherlands and United Kingdom",35.16,940.3,9.53,40.86,26/2/1990,1990,9,2,1989
