1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Date,Month,21ST,ASI,DAIRYLAND,ESURANCE,FOREMOST,HARTFORD,MERCURY,METLIFE,NATIONAL GENERAL,PLYMOUTH ROCK,PROGRESSIVE,SAFECO,THE GENERAL,TRAVELERS
11/1/2014,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11/3/2014,11,44,0,1,7,15,23,46,0,0,12,69,72,9,27
11/4/2014,11,31,1,2,4,26,22,47,1,0,6,49,70,11,32
11/5/2014,11,36,1,1,2,12,13,38,4,0,13,43,73,12,20
11/6/2014,11,29,0,5,9,14,19,54,1,0,10,40,79,9,24
11/7/2014,11,54,0,2,5,16,25,41,0,1,10,74,65,22,19
11/8/2014,11,3,0,0,1,3,0,6,0,0,1,7,10,0,3
11/10/2014,11,21,1,4,2,11,14,42,1,0,12,56,61,6,17
11/11/2014,11,25,1,0,1,10,19,33,0,0,10,33,77,9,23
11/12/2014,11,33,1,5,0,13,17,40,0,0,15,31,43,10,25
11/13/2014,11,34,3,3,4,12,14,42,2,0,11,51,52,8,18
11/14/2014,11,54,0,2,4,11,16,75,0,0,13,95,77,25,19
11/15/2014,11,11,1,0,2,6,3,12,0,0,0,18,344,2,4
11/17/2014,11,36,2,2,4,18,21,37,4,0,17,54,62,12,19
11/18/2014,11,29,0,0,3,12,13,22,2,0,6,27,51,9,13
11/19/2014,11,32,0,2,8,14,24,32,0,0,15,49,53,11,23
11/20/2014,11,40,3,2,2,20,19,39,0,0,14,44,51,15,20
11/21/2014,11,47,1,3,4,23,15,53,0,0,15,67,86,17,26
11/22/2014,11,15,0,2,0,2,4,16,0,0,0,17,11,2,6
11/24/2014,11,32,0,1,1,9,22,44,2,0,10,48,55,14,22
11/25/2014,11,26,2,4,1,9,25,39,1,0,4,51,48,11,26
11/26/2014,11,38,1,2,4,10,22,38,1,0,11,48,81,4,26
11/28/2014,11,61,1,2,15,22,21,49,0,0,14,62,67,14,33
11/29/2014,11,5,0,0,5,5,3,13,0,0,1,10,15,4,6
12/1/2014,12,50,0,1,2,13,26,54,1,0,6,59,65,16,25
12/2/2014,12,33,3,5,2,18,20,52,0,0,14,49,54,13,32
12/3/2014,12,44,1,3,3,13,21,44,3,0,6,55,84,19,32
12/4/2014,12,38,1,3,1,17,16,38,0,0,11,63,62,12,22
12/5/2014,12,41,0,2,2,12,10,52,0,0,7,66,89,20,36
12/6/2014,12,2,0,0,0,0,0,1,0,0,1,5,6,0,5
12/8/2014,12,29,1,0,5,8,16,33,1,0,13,44,70,12,18
12/9/2014,12,38,0,2,2,15,13,29,0,0,7,33,68,9,24
12/10/2014,12,36,1,3,2,15,24,42,0,0,7,35,65,8,29
12/11/2014,12,22,0,4,1,21,23,39,0,0,12,47,57,14,34
12/12/2014,12,39,2,2,1,16,20,64,0,0,14,52,81,15,28
12/13/2014,12,9,0,1,1,2,4,15,0,0,1,15,17,3,6
12/15/2014,12,30,2,4,0,17,19,51,0,0,9,55,157,11,23
12/16/2014,12,20,2,2,0,7,22,45,0,0,7,35,49,7,30
12/17/2014,12,34,0,2,3,4,24,31,1,0,8,48,65,11,22
12/18/2014,12,25,1,1,3,5,20,37,1,0,10,47,51,5,18
12/19/2014,12,44,1,4,6,12,23,54,2,0,11,66,80,8,32
12/22/2014,12,18,0,3,2,3,11,46,0,0,11,44,48,10,25
12/23/2014,12,25,0,1,19,11,12,39,2,0,12,45,48,11,24
12/24/2014,12,19,0,2,1,10,11,39,0,0,9,31,44,7,11
12/26/2014,12,78,0,2,4,17,17,45,1,0,8,60,53,9,22
12/27/2014,12,1,0,0,0,0,0,0,0,0,0,1,1,0,1
12/29/2014,12,21,1,1,6,6,11,38,1,0,6,35,49,6,29
12/30/2014,12,25,0,1,4,19,9,25,0,0,9,40,60,7,26
12/31/2014,12,39,1,4,5,13,17,44,0,0,6,44,58,9,31
1/2/2015,1,39,1,4,5,13,19,53,0,0,15,70,98,9,32
1/3/2015,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1/5/2015,1,16,0,3,2,17,23,45,0,0,10,50,59,11,36
1/6/2015,1,25,0,0,3,8,16,41,0,0,5,47,74,11,31
1/7/2015,1,23,0,2,7,5,14,35,0,0,10,32,65,6,27
1/8/2015,1,27,1,1,3,12,16,38,0,0,9,40,86,9,31
1/9/2015,1,29,0,4,4,13,19,61,0,0,16,56,85,12,28
1/10/2015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/2015,1,21,0,2,5,12,15,20,0,0,12,40,68,8,27
1/13/2015,1,19,2,0,0,16,27,28,0,0,9,35,64,7,25
1/14/2015,1,25,1,0,3,12,19,29,0,0,12,35,67,3,26
1/15/2015,1,40,0,2,5,25,14,53,0,0,13,42,79,12,29
