carrier_sold,future_pay_date, pre_tax_premium ,Term,state,1st_yr_value,Comm
HARTFORD,10/1/2014,1384,12,TX,356.5576133,Var
HARTFORD,10/1/2014,993,6,TX,282.7724195,Var
HARTFORD,10/1/2014,679,6,TX,193.3559646,Var
HARTFORD,10/1/2014,607,6,GA,172.8528285,Var
HARTFORD,10/1/2014,750,12,OH,193.22125,Var
HARTFORD,10/1/2014,809,6,GA,230.375516,Var
HARTFORD,10/1/2014,773,6,UT,220.1239479,Var
HARTFORD,10/1/2014,2060,12,SC,530.7143667,Var
HARTFORD,10/1/2014,891,6,AL,253.72631,Var
HARTFORD,10/1/2014,621,6,SC,176.8395494,Var
HARTFORD,10/1/2014,547,6,OR,155.7668817,Var
HARTFORD,10/1/2014,1543,12,MO,397.5205183,Var
HARTFORD,10/1/2014,480,12,GA,123.6616,Var
HARTFORD,10/1/2014,1020,12,GA,259.6597,Var
MERCURY,10/1/2014,970.45,12,FL,167.4107121,Var
PROGRESSIVE,10/1/2014,313,6,MO,81.246036,Var
21ST,10/1/2014,595,6,OR,220,Fixed
21ST,10/1/2014,1343,6,OR,220,Fixed
21ST,10/1/2014,237.07,6,UT,220,Fixed
21ST,10/1/2014,1286,6,UT,220,Fixed
21ST,10/1/2014,273,6,GA,220,Fixed
21ST,10/1/2014,777,6,NC,220,Fixed
21ST,10/1/2014,777,6,TX,220,Fixed
21ST,10/1/2014,777,6,PA,220,Fixed
21ST,10/1/2014,777,6,PA,220,Fixed
21ST,10/1/2014,777,6,GA,220,Fixed
21ST,10/1/2014,420,6,CA,220,Fixed
21ST,10/1/2014,1316.31,6,PA,220,Fixed
21ST,10/1/2014,873,6,PA,220,Fixed
21ST,10/1/2014,482.05,6,GA,220,Fixed
21ST,10/1/2014,757,6,PA,220,Fixed
21ST,10/1/2014,1171,6,GA,220,Fixed
21ST,10/1/2014,541,6,GA,220,Fixed
21ST,10/1/2014,215,6,TX,220,Fixed
21ST,10/1/2014,488.03,6,PA,220,Fixed
21ST,10/1/2014,885.67,6,GA,220,Fixed
21ST,10/1/2014,334,6,GA,220,Fixed
21ST,10/1/2014,1847.63,6,OH,220,Fixed
21ST,10/1/2014,315.38,6,TX,220,Fixed
21ST,10/1/2014,328,6,GA,220,Fixed
21ST,10/1/2014,1235.79,6,TX,220,Fixed
21ST,10/1/2014,663,6,MN,220,Fixed
21ST,10/1/2014,349,6,GA,220,Fixed
21ST,10/1/2014,1200,6,PA,220,Fixed
21ST,10/1/2014,298.44,6,CO,220,Fixed
21ST,10/1/2014,541,6,TX,220,Fixed
21ST,10/1/2014,266.68,6,TX,220,Fixed
21ST,10/1/2014,233,6,GA,220,Fixed
21ST,10/1/2014,167.88,6,GA,220,Fixed
21ST,10/1/2014,1600,6,FL,220,Fixed
21ST,10/1/2014,1309,6,NM,220,Fixed
21ST,10/1/2014,517,6,GA,220,Fixed
21ST,10/1/2014,319,6,MO,220,Fixed
21ST,10/1/2014,593,6,TX,220,Fixed
21ST,10/1/2014,1098,6,PA,220,Fixed
21ST,10/1/2014,638.84,6,WA,220,Fixed
21ST,10/1/2014,519,6,GA,220,Fixed
21ST,10/1/2014,318.16,6,TX,220,Fixed
21ST,10/1/2014,941,6,PA,220,Fixed
PROGRESSIVE,10/1/2014,125,12,PA,9.89060085,Var
MERCURY,10/1/2014,868,6,NY,238.74774,Var
MERCURY,10/1/2014,683,6,NY,187.862565,Var
MERCURY,10/1/2014,679,6,NY,186.762345,Var
MERCURY,10/1/2014,1245,6,NY,342.443475,Var
MERCURY,10/1/2014,852,6,NY,234.34686,Var
MERCURY,10/1/2014,1146,6,NY,315.21303,Var
MERCURY,10/1/2014,548,6,NY,150.73014,Var
MERCURY,10/1/2014,925,6,NY,254.425875,Var
MERCURY,10/1/2014,838,6,NY,230.49609,Var
MERCURY,10/1/2014,1169,6,NY,321.539295,Var
MERCURY,10/1/2014,1287,6,NY,353.995785,Var
MERCURY,10/1/2014,963,6,NY,264.877965,Var
METLIFE,10/1/2014,494,12,GA,128.82285,Var
MERCURY,10/1/2014,1300,12,VA,224.2608333,Var
MERCURY,10/1/2014,1938,12,VA,334.32115,Var
MERCURY,10/1/2014,1200,12,VA,207.01,Var
MERCURY,10/1/2014,358,6,VA,98.46969,Var
MERCURY,10/1/2014,5640,12,VA,972.947,Var
DAIRYLAND,10/1/2014,490.98,6,WI,41.26743854,Var
ESURANCE,10/1/2014,367,6,KS,475,Fixed
ESURANCE,10/1/2014,639,6,TX,325,Fixed
ESURANCE,10/1/2014,844,6,SC,475,Fixed
ESURANCE,10/1/2014,666,6,MN,225,Fixed
ESURANCE,10/1/2014,322,6,AR,325,Fixed
ESURANCE,10/1/2014,658,6,NJ,225,Fixed
ESURANCE,10/1/2014,710,6,NJ,475,Fixed
ESURANCE,10/1/2014,523,6,TX,475,Fixed
PROGRESSIVE,10/1/2014,415,6,PA,133.5953766,Var
PROGRESSIVE,10/1/2014,337,6,PA,28.6787,Var
PROGRESSIVE,10/1/2014,389,6,PA,100.973508,Var
PROGRESSIVE,10/1/2014,349,6,PA,62.3314,Var
PROGRESSIVE,10/1/2014,347.01,6,SC,139.1000967,Var
PROGRESSIVE,10/1/2014,344,6,PA,89.292768,Var
PROGRESSIVE,10/1/2014,1043,6,OK,270.733596,Var
PROGRESSIVE,10/1/2014,515,6,OH,43.8265,Var
PROGRESSIVE,10/1/2014,794,6,MI,206.100168,Var
PROGRESSIVE,10/1/2014,176,6,TN,14.9776,Var
PROGRESSIVE,10/1/2014,663,6,AL,172.096236,Var
