Date,ID,AK,AL,AR,AZ,CA,CO,CT,FL,GA,IL,IN,KS,KY,MA,MD,ME,MI,MN,MO,MS,NC,NH,NJ,NM,NV,NY,OH,OK,OR,PA,SC,TN,TX,UT,VA,VT,WA,WI,WV,(blank),Grand Total
10/1/2014,W,0,8,7,2,1,4,16,5,38,0,3,6,0,0,0,0,1,4,9,5,1,0,19,1,0,28,22,11,6,14,11,15,67,4,6,0,3,4,1,0,322
10/2/2014,TH,0,10,4,1,1,13,9,7,17,0,2,2,0,0,0,0,1,4,5,7,3,0,19,2,0,20,25,9,4,10,8,5,51,1,12,1,6,2,3,0,264
10/3/2014,FR,0,16,11,3,3,8,24,6,31,0,3,6,4,0,0,0,0,8,18,10,1,0,23,1,0,28,41,17,5,21,12,20,88,2,16,0,14,4,3,0,447
10/6/2014,M,0,6,2,4,5,6,7,3,14,0,4,1,0,0,0,0,0,2,2,11,2,0,12,3,0,19,27,6,4,15,6,11,50,2,15,0,4,3,1,0,247
10/7/2014,T,0,8,2,3,0,13,8,2,16,0,3,3,0,0,0,0,0,0,5,6,2,0,12,1,0,8,18,4,0,11,7,1,69,2,13,0,13,1,2,0,233
10/8/2014,W,0,7,1,5,2,6,8,2,10,0,3,3,3,0,0,0,0,4,3,7,0,0,7,4,0,15,20,10,5,14,7,7,32,4,10,0,7,4,5,0,215
10/9/2014,TH,0,4,5,4,1,6,6,2,22,1,1,6,0,1,0,0,0,1,8,6,0,0,15,5,0,20,14,11,5,12,9,7,51,2,14,0,3,4,1,0,247
10/10/2014,FR,0,4,8,5,2,6,9,3,25,1,1,1,0,0,0,0,0,9,6,3,2,0,30,1,0,11,23,16,11,22,15,12,63,2,21,0,10,3,2,0,327
10/11/2014,SA,0,0,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,2,0,0,3,3,0,1,6,3,5,4,0,0,0,0,0,0,0,36
10/13/2014,M,0,2,4,1,0,8,7,2,14,0,1,2,0,0,0,0,0,4,2,1,2,0,15,0,0,16,11,2,5,8,8,4,37,5,7,0,6,1,1,0,176
