year,hcanes,tenyrhcanes,amojunsep,ASLN,ASNeut,ASEN,WSAvg,WSLN,WSNeut,WSEN
1871,8,7.6,0.021,0,1,0,58,0,1,0
1872,5,7.5,0.2656,1,0,0,34.2,1,0,0
1873,5,7.1,0.059,0,1,0,49,0,1,0
1874,7,7.3,0.0736,1,0,0,23.6,1,0,0
1875,6,7.2,0.0908,1,0,0,16.8,1,0,0
1876,5,7,0.0722,0,1,0,44.8,0,1,0
1877,8,6.9,0.2948,0,0,1,129.4,0,0,1
1878,12,7.7,0.499,0,1,0,56.2,0,1,0
1879,8,7.5,0.0616,1,0,0,37,1,0,0
1880,11,7.5,0.1376,0,1,0,73,0,1,0
1881,7,7.4,0.0162,1,0,0,45.9,0,1,0
1882,6,7.5,0.032,0,1,0,48,0,1,0
1883,4,7.4,-0.0496,0,1,0,61.1,0,1,0
1884,4,7.1,-0.0348,0,0,1,92.6,0,1,0
1885,8,7.3,0.013,0,0,1,94.2,0,1,0
1886,12,8,0.1088,1,0,0,11.9,1,0,0
1887,19,9.1,0.2432,0,1,0,67.6,0,1,0
1888,9,8.8,0.2158,0,0,1,124.9,0,0,1
1889,9,8.9,0.1252,1,0,0,17.1,1,0,0
1890,4,8.2,-0.1946,1,0,0,18.6,1,0,0
1891,10,8.5,0.1142,0,1,0,80,0,1,0
1892,9,8.8,-0.1734,1,0,0,11,1,0,0
1893,12,9.6,0.0982,1,0,0,1.6,1,0,0
1894,7,9.9,-0.2624,1,0,0,26.4,1,0,0
1895,6,9.7,-0.0178,0,1,0,80,0,1,0
1896,7,9.2,0.1758,0,0,1,119.4,0,0,1
1897,6,7.9,0.0724,0,1,0,56.6,0,1,0
1898,11,8.1,0.1334,1,0,0,39.5,1,0,0
1899,9,8.1,0.1632,0,0,1,109,0,0,1
1900,7,8.4,0.0582,0,1,0,99.4,0,0,1
1901,12,8.6,0.1028,0,1,0,57.4,0,1,0
1902,5,8.2,-0.133,0,0,1,128.4,0,0,1
1903,10,8,-0.3152,0,1,0,39.6,1,0,0
1904,5,7.8,-0.3874,0,0,1,98.4,0,0,1
1905,5,7.7,-0.191,0,0,1,127.8,0,0,1
1906,11,8.1,-0.0612,1,0,0,34.2,1,0,0
1907,5,8,-0.2466,0,1,0,62.8,0,1,0
1908,10,7.9,-0.0456,1,0,0,24.8,1,0,0
1909,11,8.1,-0.1266,1,0,0,6.9,1,0,0
1910,5,7.9,-0.2386,1,0,0,7.4,1,0,0
1911,4,7.1,-0.1386,0,1,0,74.6,0,1,0
1912,6,7.2,-0.2574,0,1,0,55.4,0,1,0
1913,4,6.6,-0.448,0,0,1,90.8,0,1,0
1914,1,6.2,-0.2946,0,0,1,114.4,0,0,1
1915,5,6.2,0.2114,0,1,0,75,0,1,0
1916,14,6.5,-0.0266,1,0,0,4.2,1,0,0
1917,3,6.3,-0.2332,1,0,0,18.1,1,0,0
1918,5,5.8,-0.3578,0,0,1,116.2,0,0,1
1919,3,5,-0.2034,0,0,1,111,0,0,1
1920,4,4.9,-0.2776,0,1,0,57.6,0,1,0
1921,6,5.1,-0.173,1,0,0,41.4,0,1,0
1922,4,4.9,-0.3306,0,1,0,45.4,0,1,0
1923,7,5.2,-0.3354,0,0,1,107.8,0,0,1
1924,8,5.9,-0.1564,1,0,0,18,1,0,0
1925,2,5.6,-0.1308,0,0,1,112.8,0,0,1
1926,11,5.3,0.0992,0,1,0,86.6,0,1,0
1927,7,5.7,0.1518,0,1,0,72.2,0,1,0
1928,6,5.8,0.08,0,1,0,60.5,0,1,0
1929,3,5.8,-0.1252,0,0,1,101.6,0,0,1
1930,2,5.6,0.112,0,0,1,125.1,0,0,1
1931,9,5.9,0.2434,0,1,0,84.2,0,1,0
1932,11,6.6,0.3,0,0,1,92.1,0,1,0
1933,21,8,0.2806,1,0,0,25.8,1,0,0
1934,11,8.3,0.1244,0,1,0,67.6,0,1,0
1935,6,8.7,0.0294,0,1,0,81.8,0,1,0
1936,16,9.2,0.181,0,1,0,82.4,0,1,0
1937,9,9.4,0.4962,0,1,0,72.4,0,1,0
1938,8,9.6,0.272,1,0,0,23,1,0,0
1939,5,9.8,0.2326,0,0,1,94.8,0,1,0
1940,8,10.4,0.044,0,0,1,114.6,0,0,1
1941,6,10.1,0.2198,0,0,1,126.4,0,0,1
1942,10,10,0.193,1,0,0,24.8,1,0,0
1943,10,8.9,0.0298,0,1,0,65.4,0,1,0
1944,11,8.9,0.3954,0,1,0,63.6,0,1,0
1945,11,9.4,0.119,0,1,0,57.3,0,1,0
1946,6,8.4,-0.091,0,1,0,77,0,1,0
1947,9,8.4,-0.0998,1,0,0,43.6,0,1,0
1948,9,8.5,0,0,1,0,66.6,0,1,0
1949,13,9.3,0.0806,1,0,0,34.2,1,0,0
1950,13,9.8,-0.0208,1,0,0,10,1,0,0
1951,10,10.2,0.3158,0,0,1,113,0,0,1
1952,7,9.9,0.3864,0,1,0,65.2,0,1,0
1953,14,10.3,0.2724,0,0,1,91,0,1,0
1954,11,10.3,0.011,1,0,0,23.9,1,0,0
1955,12,10.4,0.2354,1,0,0,5,1,0,0
1956,8,10.6,-0.1048,1,0,0,22.4,1,0,0
1957,8,10.5,0.132,0,0,1,122.4,0,0,1
1958,10,10.6,0.194,0,0,1,104,0,0,1
1959,11,10.4,0.0436,0,1,0,85.2,0,1,0
1960,7,9.8,0.2984,0,1,0,58.9,0,1,0
1961,11,9.9,0.0284,0,1,0,61.4,0,1,0
1962,5,9.7,-0.0024,1,0,0,42.8,0,1,0
1963,9,9.2,-0.0738,0,0,1,112.2,0,0,1
1964,12,9.3,-0.161,1,0,0,16.6,1,0,0
1965,6,8.7,-0.1864,0,0,1,126.6,0,0,1
1966,11,9,-0.0138,0,1,0,77.3,0,1,0
1967,8,9,-0.1578,1,0,0,32.6,1,0,0
1968,8,8.8,-0.1812,0,1,0,75,0,1,0
1969,18,9.5,-0.0418,0,0,1,109.7,0,0,1
1970,10,9.8,-0.1586,1,0,0,16.5,1,0,0
1971,13,10,-0.3366,1,0,0,14.5,1,0,0
1972,7,10.2,-0.3536,0,0,1,132.6,0,0,1
1973,8,10.1,-0.1376,1,0,0,10.4,1,0,0
1974,11,10,-0.474,1,0,0,26.8,1,0,0
1975,9,10.3,-0.2734,1,0,0,4,1,0,0
1976,10,10.2,-0.2772,0,0,1,111.6,0,0,1
1977,6,10,-0.147,0,0,1,106.5,0,0,1
1978,12,10.4,-0.2306,0,1,0,72,0,1,0
1979,9,9.5,-0.0726,0,0,1,101.1,0,0,1
1980,11,9.6,0.0402,0,1,0,94.2,0,1,0
1981,12,9.5,-0.076,0,1,0,73,0,1,0
1982,6,9.4,-0.2572,0,0,1,132,0,0,1
1983,4,9,-0.1044,0,1,0,97.6,0,0,1
1984,13,9.2,-0.25,0,1,0,54.1,0,1,0
1985,11,9.4,-0.1874,1,0,0,56.7,0,1,0
1986,6,9,-0.2406,0,0,1,112,0,0,1
1987,7,9.1,0.2242,0,0,1,131.8,0,0,1
1988,12,9.1,0.0214,1,0,0,5.6,1,0,0
1989,11,9.3,0.0532,0,1,0,42.3,0,1,0
1990,14,9.6,0.0678,0,1,0,87,0,1,0
1991,8,9.2,-0.1088,0,1,0,104.6,0,0,1
1992,7,9.3,-0.2644,0,0,0,106.6,0,0,1
1993,8,9.7,-0.1994,0,0,1,112.8,0,0,1
1994,7,9.1,-0.161,0,0,1,113.2,0,0,1
1995,19,9.9,0.222,0,1,0,68.4,0,1,0
1996,13,10.6,-0.058,0,1,0,57.2,0,1,0
1997,8,10.7,0.0874,0,0,1,135,0,0,1
1998,14,10.9,0.4756,1,0,0,40.2,1,0,0
1999,12,11,0.1964,1,0,0,29,1,0,0
2000,15,11.1,0.0634,0,1,0,54.6,0,1,0
2001,15,11.8,0.2294,0,1,0,60.7,0,1,0
2002,12,12.3,0.043,0,0,1,109.8,0,0,1
2003,16,13.1,0.375,0,1,0,86.4,0,1,0
2004,15,13.9,0.2614,0,0,1,96.8,0,0,1
2005,26,14.6,0.3948,0,1,0,66.4,0,1,0
